Dominio,Priorita,Categoria,Note
liberatingstructures.com,alta,brand-ufficiale,Sito ufficiale EN; riferimento contenuti e SERP internazionali
liberatingstructures.it,alta,brand-it,Community italiana; overlap forte su quasi tutte le strutture LS
liberatingstructures.eu,media,brand-eu,Sito europeo; varianti EN/IT
loci.it,alta,facilitazione-ls,Scuola Superiore di Facilitazione; pos 1-2 su brand e molte strutture
scuolafacilitatori.it,alta,facilitazione,Leader su "facilitazione" (vol 1600); contenuti formativi
agileway.it,alta,agile-ls,Guide LS + agile; competitor su TRIZ OST W3
complexitysurfers.com,alta,facilitazione-ls,Forte su open space technology e world cafe
collectivegenius.it,media,facilitazione,Contenuti facilitazione e change
businesstheory.it,media,facilitazione,Rank su facilitazione e facilitazione strategica
oltremeta.it,media,adjacente,Contenuti team partecipazione ascolto attivo
agilemadeinitaly.com,media,agile-facilitazione,Facilitazione remota e coaching team agili
facilitazionemaieutica.it,bassa,facilitazione,Nicchia facilitazione maieutica
mentipratiche.it,bassa,facilitazione,Formazione e pratiche di gruppo
qrpinternational.it,bassa,adjacente,Pensiero sistemico e metodi partecipativi
