Keyword,POS,P.M.,Var,Lingua,Ext,Localcode,Vol.,Traffico,Cambio URL,URL,Andamento,SERP Features,SEO,CPC,Concorrenza,Keyword Difficulty,Keyword Opportunity,Tags
liberatingstructures,2,2,0,it,.it,,2900,455,0,https://liberating.it/,"2026-06-09 : 2
2026-06-11 : 2","Foto Carousel,Box Domande frequenti,Mispell",,0.5,0.07,1,93,
1 2 4 all,1,1.78,0,it,.it,,320,145,0,https://liberating.it/structures/1-2-4-all/,"2026-06-10 : 1
2026-06-12 : 1","AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,28,84,
together drawings,3,3.78,3,it,.it,,880,89,0,https://liberating.it/structures/drawing-together/,"2026-06-09 : 3
2026-06-11 : 6","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,42,72,
liberating structures,2,2,0,it,.it,,140,22,1,https://liberating.it/,"2026-06-07 : 2
2026-06-09 : 2
2026-06-11 : 2","Foto Carousel,Video Carousels,Box Domande frequenti",,1.05,0.01,21,43,
25 10 crowdsourcing,2,2.14,0,it,.it,,50,8,0,https://liberating.it/structures/25-10-crowd-sourcing/,"2026-06-10 : 2
2026-06-12 : 2","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,16,86,
liberating structures triz,3,2.07,0,it,.it,,50,5,1,https://liberating.it/structures/triz/,"2026-06-10 : 3
2026-06-12 : 3","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0.06,21,82,
eco cycle planning,5,12.28,0,it,.it,,90,4,0,https://liberating.it/structures/ecocycle-planning/,"2026-06-09 : 6
2026-06-11 : 5","Foto Carousel,Video Carousels",,0,0,30,80,
liberating,2,66.07,50,it,.it,,20,3,0,https://liberating.it/,"2026-06-09 : 101
2026-06-11 : 101",Box Domande frequenti,,0,0,64,25,
triz liberating structures,4,2.4,0,it,.it,,50,3,0,https://liberating.it/structures/triz/,"2026-06-09 : 4
2026-06-11 : 4","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0.06,20,87,
wicked question,3,10.07,0,it,.it,,20,2,0,https://liberating.it/structures/wicked-questions/,"2026-06-10 : 101
2026-06-12 : 3","Google Knowledge Panel,Video Carousels,Box Domande frequenti",,0,0,33,47,
one two four all,2,8.6,0,it,.it,,10,2,0,https://liberating.it/structures/1-2-4-all/,"2026-06-10 : 2
2026-06-12 : 2","AI Overview,Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,12,93,
troika liberating structures,2,2.85,0,it,.it,,10,2,0,https://liberating.it/structures/troika-consulting/,"2026-06-10 : 2
2026-06-13 : 2","Foto Carousel,Video Carousels,Box Domande frequenti",,0,0,21,86,
conversation cafe liberating structures,3,2.85,1,it,.it,,10,1,1,https://liberating.it/structures/conversation-cafe/,"2026-06-09 : 3
2026-06-11 : 4","Foto Carousel,Video Carousels",,0,0,15,88,
discovery and action dialogue,3,3.07,0,it,.it,,10,1,0,https://liberating.it/structures/discovery-action-dialogue-dad/,"2026-06-10 : 4
2026-06-12 : 3","Video Carousels,Box Domande frequenti",,0,0,22,64,
