Keyword,Lingua,Ext,Localcode,Pos,Var,Var. Traffico,Volume,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic,"Traffico
Stimato",Intent,Feature,CPC,URL,Keyword Difficulty,Keyword Opportunity
liberatingstructures,it,.it,,2,0,0,2900,2900,2400,2900,2400,2900,2900,2900,1900,2900,2900,2900,1900,456,Informational,"Foto Carousel,Box Domande frequenti,Mispell",0.5,https://liberating.it/,1,93
liberatingstructures,it,.it,,18,0,0,2900,2900,2400,2900,2400,2900,2900,2900,1900,2900,2900,2900,1900,0,Informational,"Foto Carousel,Box Domande frequenti,Mispell",0.5,https://liberating.it/difficolta/intermedia/,1,93
together drawings,it,.it,,3,3,54,880,720,880,1000,1000,720,880,720,720,880,720,720,720,89,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/drawing-together/,42,72
1 2 4 all,it,.it,,1,0,0,320,320,390,390,320,390,390,320,210,320,320,390,260,146,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,28,84
open space technology,it,.it,,11,0,0,210,260,210,210,260,320,320,170,90,210,210,260,140,0,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Google Knowledge Panel,Box Domande frequenti",0,https://liberating.it/structures/open-space-technology-ost/,36,37
webbing,it,.it,,12,1,0,210,170,210,170,260,260,260,170,210,210,210,210,170,0,Informational,"AI Overview,Google Knowledge Panel",0.56,https://liberating.it/structures/social-network-webbing/,47,32
liberating structures,it,.it,,2,0,0,140,110,140,140,110,140,140,90,90,170,140,140,90,22,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",1.05,https://liberating.it/,21,43
liberating structures,it,.it,,20,0,0,140,110,140,140,110,140,140,90,90,170,140,140,90,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",1.05,https://liberating.it/difficolta/intermedia/,21,43
What So What Now What,it,.it,,30,8,0,140,140,140,140,170,210,140,140,110,140,140,170,110,0,Informational,"AI Overview,Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/w3-what-so-what-now-what/,6,91
eco cycle planning,it,.it,,5,0,0,90,110,140,110,90,90,90,140,50,90,90,90,90,5,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/ecocycle-planning/,30,80
25 10 crowdsourcing,it,.it,,2,0,0,50,50,40,40,40,40,70,40,40,50,50,90,30,8,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/25-10-crowd-sourcing/,16,86
liberating structures triz,it,.it,,3,0,0,50,50,50,50,50,50,70,50,50,50,70,70,40,6,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/triz/,21,82
triz liberating structures,it,.it,,4,0,0,50,50,50,50,50,50,70,50,50,50,70,70,40,3,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/triz/,20,87
liberating structures triz,it,.it,,26,0,0,50,50,50,50,50,50,70,50,50,50,70,70,40,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/,21,82
2 4 1,it,.it,,24,27,0,40,50,30,50,50,40,30,30,30,50,40,30,30,0,Informational,Foto Carousel,0,https://liberating.it/structures/1-2-4-all/,50,69
shift and share,it,.it,,10,-1,0,30,30,20,20,10,50,20,20,20,30,30,30,20,1,Informational,"Google Knowledge Panel,Box Domande frequenti",0,https://liberating.it/structures/shift-share/,43,74
liberating,it,.it,,2,49,4,20,20,10,50,10,10,10,10,10,20,10,20,20,4,Informational,Box Domande frequenti,0,https://liberating.it/,64,25
wicked question,it,.it,,3,0,0,20,20,20,20,20,30,30,30,10,20,20,20,30,3,Informational,"Google Knowledge Panel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/wicked-questions/,33,47
panarchy,it,.it,,9,42,1,20,30,20,20,20,20,20,30,30,20,30,30,40,1,Informational,Foto Carousel,0,https://liberating.it/structures/panarchy/,33,36
troika liberating structures,it,.it,,2,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,2,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,21,86
one two four all,it,.it,,2,0,0,10,10,10,10,20,20,20,20,10,10,10,10,10,2,Informational,"AI Overview,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,12,93
liberating structure triz,it,.it,,3,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,Informational,Video Carousels,0,https://liberating.it/structures/triz/,20,87
fishbowl liberating structures,it,.it,,3,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/user-experience-fishbowl/,16,89
ecocycle liberating structures,it,.it,,3,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/ecocycle-planning/,26,84
conversation cafe liberating structures,it,.it,,3,1,1,10,10,10,10,10,10,10,10,10,20,10,10,10,2,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/conversation-cafe/,15,88
shift and share liberating structures,it,.it,,3,-1,0,10,10,0,10,10,10,0,10,10,10,10,10,0,2,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/shift-share/,17,85
discovery and action dialogue,it,.it,,3,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,2,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/discovery-action-dialogue-dad/,22,64
1 2 4 method,it,.it,,4,-1,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/1-2-4-all/,15,91
liberating structures ecocycle,it,.it,,4,-2,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/ecocycle-planning/,27,79
liberating structures 9 whys,it,.it,,4,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,1,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/9-whys/,14,90
troika consulting,it,.it,,4,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,1,Informational,"Primo risultato visibile dopo uno scroll,Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,27,40
9 whys liberating structures,it,.it,,4,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/9-whys/,14,88
liberating structures what so what now what,it,.it,,4,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/w3-what-so-what-now-what/,19,87
heard seen respected,it,.it,,5,1,0,10,10,20,20,10,10,20,10,10,10,20,10,10,1,Informational,Video Carousels,0,https://liberating.it/structures/heard-seen-respected-hsr/,23,74
min specs liberating structures,it,.it,,5,-2,-1,10,10,10,10,10,10,10,10,10,10,10,20,10,1,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/structures/min-specs/,15,89
wicked questions liberating structures,it,.it,,5,-1,0,10,0,10,0,10,10,10,10,10,10,0,10,10,1,"Navigational,Informational","Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/wicked-questions/,16,87
liberating structures wicked questions,it,.it,,5,0,0,10,10,10,10,0,10,10,10,10,10,10,10,10,1,"Navigational,Informational","Foto Carousel,Video Carousels",0,https://liberating.it/structures/wicked-questions/,16,88
troika consulting liberating structures,it,.it,,6,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/structures/troika-consulting/,27,83
share shift,it,.it,,7,7,1,10,10,0,0,10,10,10,10,0,10,0,0,0,1,Informational,Box Domande frequenti,0,https://liberating.it/structures/shift-share/,62,67
w³,it,.it,,7,-1,0,10,10,10,10,10,10,10,10,10,20,20,10,10,1,Informational,Foto Carousel,0,https://liberating.it/structures/w3-what-so-what-now-what/,33,63
structure 15,it,.it,,9,7,1,10,0,10,0,0,0,0,0,0,10,0,10,0,1,Transactional,Foto Carousel,0,https://liberating.it/structures/15-solutions/,36,77
conversation cafe liberating structures,it,.it,,9,0,0,10,10,10,10,10,10,10,10,10,20,10,10,10,1,Informational,"Foto Carousel,Video Carousels",0,https://liberating.it/difficolta/intermedia/page/2/,15,88
discovery dialogue,it,.it,,10,-1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,1,Informational,Box Domande frequenti,0,https://liberating.it/structures/discovery-action-dialogue-dad/,61,60
metodologia open space,it,.it,,11,-1,-1,10,10,10,10,0,10,10,10,10,10,10,10,10,0,Informational,"Risultato Zero,Box Domande frequenti",0,https://liberating.it/structures/open-space-technology-ost/,29,85
fishbowl liberating structures,it,.it,,15,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,Informational,"Foto Carousel,Video Carousels,Box Domande frequenti",0,https://liberating.it/difficolta/intermedia/page/2/,16,89
aperture space,it,.it,,16,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,Informational,,0,https://liberating.it/structures/open-space-technology-ost/,49,38
9 windows triz,it,.it,,19,32,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,Informational,Google Knowledge Panel,0,https://liberating.it/structures/triz/,30,85
